a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10
0,1,1,regular,15,,,jug_regular,,,weapon
1,1,2,regular,20,,,jug_riotshield,,,,,
2,0,3,regular,28,,,,,,,,
3,0,4,regular,22,dog_splode,6,,,,equipment
4,0,5,regular,20,chemical dog_splode,2 6,,,,
5,0,6,regular,20,martyrdom dog_splode,4,,chopper chopper,,airsupport
6,0,7,regular,14,chemical martyrdom,10 4,,,,
7,0,8,hardened,15,dog_reg martyrdom,7 6,,,,
8,0,9,hardened,10,easy regular,4 10,,,,
9,0,10,hardened,3,easy dog_splode,4 2,jug_explosive,chopper chopper chopper chopper chopper,,
10,1,11,hardened,14,easy regular,4 8,jug_explosive jug_regular,,,
11,0,12,hardened,28,,,,,,
12,0,13,hardened,15,easy dog_splode,5 6,,,,
13,0,14,hardened,10,easy chemical dog_splode,4 3 5,jug_explosive jug_riotshield jug_riotshield,,,
14,0,15,veteran,8,hardened regular,8 8,,,,
15,0,16,veteran,9,hardened chemical martyrdom dog_splode,7 7 3 1,,,,
16,0,17,veteran,20,chemical martyrdom,3 3,,,,
17,0,18,veteran,18,chemical martyrdom dog_splode,3 3 4,,,,
18,1,19,veteran,15,easy dog_splode,6 6,jug_riotshield jug_regular,chopper chopper,,
19,0,20,veteran,15,chemical hardened,3 10,,,,
20,0,21,veteran,20,chemical martyrdom,3 3,,,,
21,1,22,veteran,15,chemical regular dog_splode,3 3 5,jug_explosive jug_regular,,,
22,0,23,veteran,28,,,,,,
23,0,24,veteran,12,dog_reg dog_splode,8 8,,,,
24,0,25,veteran,14,chemical martyrdom hardened,8 2 4,,,,
25,0,26,veteran,20,easy claymore,5 3,,,,
26,0,27,veteran,13,chemical claymore,3 3,,,,
27,0,28,veteran,0,,,jug_explosive jug_regular jug_riotshield,,,
28,0,29,veteran,0,,,jug_explosive jug_regular jug_riotshield jug_riotshield jug_explosive jug_explosive jug_explosive jug_regular jug_regular jug_regular jug_explosive jug_regular jug_riotshield jug_riotshield jug_explosive jug_regular jug_riotshield jug_riotshield,,,
29,0,30,veteran,10,hardened easy,10 8,,,,
30,0,31,veteran,13,easy claymore,6 8,,,,
31,0,32,veteran,12,easy hardened,8 8,,,,
32,0,33,veteran,16,dog_splode claymore,6 6,,chopper chopper chopper,,
33,0,34,elite,28,,,,,,,,
34,0,35,elite,21,dog_splode,4,,,,,,
35,0,36,elite,4,chemical veteran,4 4,jug_regular jug_regular jug_explosive jug_explosive,,,,
36,0,37,elite,20,chemical martyrdom dog_splode,3 3 2,,,,
37,0,38,elite,8,claymore easy martyrdom veteran,3 3 2 8,,,1,
38,0,39,elite,8,veteran chemical hardened jug_MW2,9 3 6 1,,,1,
39,0,40,elite,6,dog_splode,7,jug_regular jug_regular jug_regular jug_riotshield jug_riotshield,chopper chopper,1,
40,0,41,elite,10,claymore chemical easy dog_splode,6 4 3 2,,,1,
41,0,42,elite,13,claymore veteran hardened jug_MW2,2 5 5 2,,,1,
42,0,43,elite,6,dog_splode,4,jug_explosive jug_explosive jug_explosive jug_riotshield jug_regular jug_regular jug_regular jug_riotshield jug_riotshield,chopper chopper,1,
1000,weapon_1,iw5_ump45_mp_silencer,300,,,,,,,
1001,weapon_2,iw5_usp45_mp,160,,,,,,,
1002,weapon_3,,,,,,,,,
1003,grenade_1,fraggrenade,2,,,,,,,,
1004,grenade_2,,,,,,,,,
1005,equipment_1,,,,,,,,,
1006,equipment_2,,,,,,,,,
1007,equipment_3,,,,,,,,,
1008,airsupport_1,,,,,,,,,
1009,airsupport_2,,,,,,,,,
1010,airsupport_3,,,,,,,,,
1011,perk_1,,,,,,,,,
1012,perk_2,,,,,,,,,
1013,perk_3,,,,,,,,,
1014,armor_1,armor,500,,,,,,,
