a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10
0,1,1,regular,16,martyrdom easy,3 2,jug_regular,,,weapon
1,1,2,regular,16,martyrdom easy,4 3,jug_riotshield jug_riotshield,,,,,,
2,1,3,regular,13,hardened dog_splode,10 6,jug_riotshield jug_regular jug_regular,,,equipment
3,1,4,regular,13,hardened dog_splode,10 6,jug_riotshield jug_regular jug_regular,chopper chopper,,
4,0,5,hardened,15,dog_reg easy,5 6,,,,
5,0,6,hardened,15,regular easy,8 2,,,,
6,0,7,hardened,15,martyrdom claymore dog_splode,2 3 3,,,,
7,0,8,hardened,10,martyrdom regular easy,6 6 4,,chopper chopper,,airsupport
8,0,9,hardened,10,regular claymore,10 8,,,,
9,0,10,hardened,3,dog_splode,20,jug_explosive jug_regular jug_riotshield jug_explosive,,,
10,0,11,hardened,15,martyrdom easy,5 3,jug_explosive jug_regular,chopper chopper,,
11,0,12,veteran,7,hardened regular martyrdom,7 7 7,,,,
12,0,13,veteran,9,hardened chemical martyrdom dog_splode,7 7 3 1,,,,
13,0,14,veteran,15,chemical easy dog_splode,5 3 3,,,,
14,0,15,veteran,26,,,,,,
15,0,16,veteran,10,dog_splode,10,jug_explosive jug_explosive jug_regular jug_regular jug_riotshield,,,
16,0,17,veteran,10,dog_splode chemical,4 4,jug_explosive jug_explosive jug_regular jug_regular jug_riotshield,chopper chopper,,
17,0,18,veteran,15,hardened martyrdom dog_splode,5 3 3,,chopper chopper chopper,,
18,0,19,veteran,20,chemical regular,3 3,,,,
19,0,20,veteran,16,easy hardened,5 5,,,,
20,0,21,veteran,20,chemical martyrdom,3 3,,,,
21,0,22,veteran,16,easy claymore dog_splode,4 3 3,,,,
22,0,23,veteran,6,hardened martyrdom dog_splode regular,6 6 6 4,jug_riotshield jug_regular jug_explosive jug_explosive jug_regular jug_riotshield,,,
23,0,24,veteran,6,hardened chemical martyrdom dog_splode regular,6 3 3 6 4,jug_riotshield jug_regular jug_explosive jug_explosive jug_regular jug_riotshield,chopper chopper,,
24,0,25,veteran,16,easy chemical martyrdom,6 2 2,,chopper chopper chopper chopper,,
25,0,26,elite,20,dog_reg,6,,,,,,
26,0,27,elite,16, claymore chemical,6 4,,,,,,
27,1,28,elite,13, easy dog_splode,5 4,jug_explosive jug_explosive jug_explosive jug_explosive,chopper chopper chopper chopper chopper,,,,
28,0,29,elite,15, hardened regular martyrdom,5 3 3,,,,,,
29,0,30,elite,16, claymore veteran,3 7,,,,,,
30,0,31,elite,16, martyrdom easy,3 7,,,,,,
31,0,32,elite,14, easy dog_splode,8 4,,,,,,
32,0,33,elite,13, claymore chemical dog_splode easy,3 4 2 4,,,,,,
33,1,34,elite,10,chemical veteran dog_splode,4 3 3,jug_regular jug_regular jug_explosive jug_explosive,,,,
34,0,35,elite,20,chemical martyrdom,3 3,,,,
35,0,36,elite,10,dog_splode jug_MW2,3 1,jug_explosive jug_riotshield jug_regular,chopper chopper chopper,,
36,1,37,elite,15,claymore chemical martyrdom veteran,3 3 2 3,,,1,
37,1,38,elite,9,veteran chemical hardened jug_MW2,9 3 5 1,,chopper chopper chopper chopper chopper,1,
38,0,39,elite,11,martyrdom dog_splode,4 7,jug_regular jug_explosive jug_explosive jug_riotshield jug_riotshield,chopper chopper chopper,1,
39,1,40,elite,13,claymore chemical easy dog_splode,6 4 3 2,,,1,
40,1,41,elite,15,claymore veteran hardened jug_MW2,3 5 3 2,,chopper chopper,1,
41,0,42,elite,8,martyrdom dog_splode,4 7,jug_explosive jug_explosive jug_explosive jug_riotshield jug_regular jug_regular jug_regular jug_riotshield jug_riotshield jug_explosive jug_riotshield jug_regular,chopper chopper chopper chopper,1,
1000,weapon_1,iw5_cm901_mp_silencer,300,,,,,,,
1001,weapon_2,iw5_mp412_mp,160,,,,,,,
1002,weapon_3,,,,,,,,,
1003,grenade_1,,,,,,,,,
1004,grenade_2,,,,,,,,,
1005,equipment_1,laststand,1,,,,,,,
1006,equipment_2,,,,,,,,,
1007,equipment_3,,,,,,,,,
1008,airsupport_1,,,,,,,,,
1009,airsupport_2,,,,,,,,,
1010,airsupport_3,,,,,,,,,
1011,perk_1,,,,,,,,,
1012,perk_2,,,,,,,,,
1013,perk_3,,,,,,,,,
1014,armor_1,armor,250,,,,,,,
