a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10
0,1,1,regular,5,dog_splode dog_reg easy,5 5 5,,,,,
1,1,2,regular,5,hardened dog_reg dog_splode easy,5 5 5 5,,chopper,,
2,1,3,regular,5,claymore chemical dog_splode hardened,6 5 5 5,,chopper chopper,,weapon
3,1,4,hardened,10,claymore dog_splode martyrdom,6 6 4,,,,
4,0,5,hardened,10,regular chemical,10 4,jug_regular jug_regular,chopper chopper,,equipment
5,0,6,hardened,12,easy claymore dog_splode,8 4 2,,,,
6,1,7,veteran,7,hardened regular,7 7,jug_explosive jug_explosive jug_explosive,chopper chopper chopper,,airsupport
7,1,8,veteran,10,chemical claymore dog_splode,3 3 3,jug_riotshield jug_riotshield jug_explosive jug_explosive jug_explosive,,,
8,1,9,veteran,16,chemical martyrdom,5 5,,chopper chopper chopper chopper chopper chopper,,
9,1,10,veteran,10,claymore easy hardened,6 6 4,,,,
10,0,11,veteran,10,claymore regular dog_splode easy,5 5 2 4,,,,
11,1,12,elite,20,dog_reg,6,,,,,,
12,1,13,elite,21,dog_splode,4,,,,,,
13,0,14,elite,15,chemical veteran,5 5,jug_explosive jug_explosive,chopper chopper,,,
14,1,15,elite,20,chemical martyrdom,3 3,,,,
15,0,16,elite,10,dog_splode,3,,chopper chopper chopper chopper chopper chopper chopper,,
16,1,17,elite,8,claymore chemical martyrdom,8 7 3,,,1,
17,0,18,elite,9,veteran chemical hardened,9 3 5,jug_riotshield jug_explosive,chopper,,
18,0,19,elite,0,dog_splode,14,jug_regular jug_regular jug_regular jug_regular jug_regular jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_riotshield jug_riotshield jug_riotshield jug_riotshield,chopper,,
19,0,20,elite,10,claymore chemical easy dog_splode,6 4 3 2,,,,
20,0,21,elite,15,claymore veteran hardened,2 5 4,,,,
20,0,22,elite,15,chemical easy dog_splode,2 5 4,,,,
20,0,23,elite,15,easy veteran hardened,2 5 4,,,,
20,0,24,elite,15,claymore chemical martyrdom,2 5 4,,,,
20,0,25,elite,15,dog_reg easy dog_splode,2 5 4,,chopper chopper chopper chopper chopper,,
20,0,26,elite,20,martyrdom,6,,,,
20,1,27,elite,15,claymore easy,2 5 4,jug_explosive jug_explosive jug_explosive jug_riotshield jug_riotshield,,,
20,0,28,elite,15,easy veteran regular,2 5 4,,,,
20,0,29,elite,15,martyrdom dog_splode chemical,2 5 4,,,,
20,0,30,elite,15,chemical easy hardened,2 5 4,,,,
20,0,31,elite,15,martyrdom veteran claymore,2 5 4,,,,
21,0,32,elite,6,dog_splode,4,jug_explosive jug_explosive jug_explosive jug_riotshield jug_regular jug_regular jug_regular jug_riotshield jug_riotshield,chopper chopper chopper,,
22,0,33,elite,10,claymore easy dog_splode,6 6 4,,chopper chopper chopper chopper chopper chopper chopper chopper,1,
23,0,34,elite,10,martyrdom regular dog_splode,6 6 4,,,1,
24,0,35,elite,10,veteran hardened chemical,6 6 4,,,1,
25,0,36,elite,10,claymore easy regular,6 6 4,,,1,
26,0,37,elite,10,chemical veteran dog_splode,4 8 4,jug_explosive jug_explosive jug_explosive jug_regular jug_regular jug_regular jug_regular jug_explosive jug_riotshield jug_riotshield jug_riotshield jug_riotshield,chopper,1,
27,0,38,elite,10,claymore veteran dog_splode jug_MW2,6 6 3 1,,,1,
28,0,39,elite,10,chemical easy martyrdom jug_MW2,6 6 2 2,,,1,
29,1,40,elite,3,veteran hardened regular easy claymore chemical martyrdom dog_splode dog_reg,3 3 3 3 3 2 2 2 2,jug_explosive jug_regular jug_riotshield,chopper chopper,1,
30,0,41,elite,10,claymore chemical hardened veteran jug_MW2,4 2 4 4 2,,,1,
1000,weapon_1,iw5_mp7_mp_silencer_xmags,300,,,,,,,
1001,weapon_2,iw5_usp45_mp_akimbo_xmags,160,,,,,,,
1002,weapon_3,iw5_mp412_mp,,,,,,,,
1003,grenade_1,fraggrenade,1,,,,,,,,
1004,grenade_2,,,,,,,,,
1005,equipment_1,laststand,1,,,,,,,
1006,equipment_2,sentry,1,,,,,,,
1007,equipment_3,claymore,5,,,,,,,
1008,airsupport_1,,,,,,,,,
1009,airsupport_2,,,,,,,,,
1010,airsupport_3,,,,,,,,,
1011,perk_1,specialty_stalker,,,,,,,,
1012,perk_2,,,,,,,,,
1013,perk_3,,,,,,,,,
1014,armor_1,armor,500,,,,,,,
