a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10
0,1,1,regular,0,,,jug_regular jug_regular jug_regular jug_regular,,,,
1,1,2,regular,0,,,jug_riotshield jug_riotshield jug_riotshield jug_riotshield jug_riotshield,,,equipment
2,1,3,regular,0,,,jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive,,,weapon
3,1,4,hardened,10,martyrdom,6,jug_regular,,,
4,0,5,hardened,10,regular,10,jug_regular jug_regular,,,airsupport
5,0,6,hardened,3,dog_splode,2,jug_explosive jug_regular,chopper,,
6,1,7,veteran,7,hardened regular,7 7,jug_regular jug_explosive jug_riotshield,,,
7,1,8,veteran,9,chemical martyrdom dog_splode,7 3 3,jug_riotshield jug_riotshield jug_explosive jug_regular jug_regular,chopper,,airsupport
8,1,9,veteran,20,chemical martyrdom,3 3,,,,
9,1,10,veteran,15,regular,11,,,,
9,0,11,veteran,10,chemical hardened,4 8,jug_explosive jug_regular jug_riotshield jug_explosive,,,
9,0,12,veteran,2,martyrdom,24,,,,
9,0,13,veteran,8,easy hardened dog_splode,4 5 4,jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive,chopper chopper,,
9,0,14,veteran,18,dog_splode claymore,6 4,,,,
9,0,15,veteran,10,chemical dog_splode easy,2 4 4,jug_regular jug_regular jug_regular jug_riotshield jug_riotshield jug_riotshield,chopper chopper,,
9,0,16,veteran,2,chemical,24,,,,
9,0,17,veteran,10,hardened easy,8 8,,,,
9,0,18,veteran,15,hardened regular,6 5,,chopper chopper chopper,,
9,0,19,veteran,2,claymore,24,,,,
9,0,20,veteran,8,claymore chemical,10 8,,,,
9,1,21,veteran,10,easy regular hardened,5 5 6,jug_explosive jug_regular jug_riotshield jug_explosive jug_explosive,chopper chopper chopper chopper,,
9,0,22,veteran,2,martyrdom,24,,,,
9,0,23,veteran,2,martyrdom,24,,,,
9,0,24,veteran,15,dog_splode hardened chemical,3 4 4,,chopper chopper chopper chopper,,
9,0,25,veteran,15,chemical regular,5 6,,,,
9,0,26,veteran,10,elite claymore,10 4,,,,
9,0,27,elite,16,easy,10,,,,
9,0,28,elite,15,hardened easy,6 5,,,,
10,0,29,elite,3,dog_splode,2,jug_riotshield jug_explosive jug_explosive jug_regular,chopper chopper,,
11,1,30,elite,20,dog_reg,6,,,,,,
12,1,31,elite,21,dog_splode,4,,,,,,
13,0,32,elite,3,chemical veteran,3 3,jug_regular jug_regular jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_riotshield,chopper,,,
14,1,33,elite,20,chemical martyrdom,3 3,,,,
15,0,34,elite,10,dog_splode,3,,chopper chopper chopper chopper chopper chopper,,
16,1,35,elite,8,claymore chemical martyrdom,8 8 3,,,1,
17,0,36,elite,9,veteran regular hardened,9 3 6,jug_riotshield jug_explosive,chopper,1,
18,0,37,elite,0,dog_splode jug_MW2,11 3,jug_regular jug_regular jug_regular jug_regular jug_regular jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_riotshield jug_riotshield jug_riotshield jug_riotshield,chopper,1,
19,1,38,elite,10,chemical easy dog_splode claymore,4 5 4 3,,,1,
20,1,39,elite,15,claymore veteran hardened,2 5 5,,,1,
21,0,40,elite,6,dog_splode jug_MW2,4 3,jug_explosive jug_explosive jug_explosive jug_riotshield jug_regular jug_regular jug_regular jug_riotshield jug_riotshield,chopper chopper chopper,1,
1000,weapon_1,iw5_pecheneg_mp_silencer,300,,,,,,,
1001,weapon_2,iw5_usp45_mp,160,,,,,,,
1002,weapon_3,,,,,,,,,
1003,grenade_1,fraggrenade,2,,,,,,,,
1004,grenade_2,,,,,,,,,
1005,equipment_1,laststand,1,,,,,,,
1006,equipment_2,laststand,1,,,,,,,
1007,equipment_3,laststand,1,,,,,,,
1008,airsupport_1,,,,,,,,,
1009,airsupport_2,,,,,,,,,
1010,airsupport_3,,,,,,,,,
1011,perk_1,specialty_fastreload,,,,,,,,
1012,perk_2,,,,,,,,,
1013,perk_3,,,,,,,,,
1014,armor_1,armor,1000,,,,,,,
